language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=1.45 s (167.3 files/s 115191.6 lines/s)"
JavaScript,frontend/js/firebase/auth-ui.js,104,26,351
CSS,frontend/assets/css/components/data-table.css,83,47,338
Python,backend/services/unified_data_service.py,65,73,334
JavaScript,frontend/assets/js/components/feedback-modal.js,65,92,330
Python,backend/services/sharing_service.py,103,94,329
Python,backend/models(1).py,81,22,328
CSS,frontend/assets/css/feedback-dropdown.css,88,98,313
JavaScript,frontend/assets/js/components/workout-detail-modal.js,65,30,310
JavaScript,frontend/assets/js/components/base-page.js,84,40,304
JavaScript,frontend/assets/js/components/exercise-search-core.js,55,78,301
Python,backend/api/workout_sessions.py,92,69,300
JavaScript,frontend/assets/js/components/workout-card.js,65,75,295
HTML,frontend/profile.html,38,39,287
JavaScript,frontend/assets/js/services/feedback-admin-service.js,63,58,271
Python,backend/scripts/import_exercises.py,87,86,266
JavaScript,frontend/assets/js/components/pagination.js,68,27,266
CSS,frontend/assets/css/components/feedback-button.css,69,56,265
CSS,frontend/assets/css/workout-history.css,74,48,263
Python,backend/services/data_service.py,106,70,260
JavaScript,frontend/assets/js/dashboard/public-workouts.js,61,68,260
Python,backend/services/v2/document_service_v2.py,103,141,254
JavaScript,frontend/assets/js/components/workout-detail-offcanvas.js,56,75,251
JavaScript,frontend/assets/js/components/auth-modals-template.js,20,10,247
HTML,frontend/index(1).html,23,24,246
HTML,frontend/workout-database.html,64,53,246
Python,backend/api/workouts.py,49,35,240
Python,backend/services/migration_service.py,60,83,237
JavaScript,frontend/assets/js/services/feedback-service.js,55,69,237
JavaScript,frontend/assets/js/components/workout-grid.js,52,87,232
JavaScript,frontend/assets/js/components/exercise-card-renderer.js,41,58,225
JavaScript,frontend/assets/js/modules/card-renderer.js,51,73,220
JavaScript,frontend/assets/js/components/program-card.js,51,61,217
HTML,frontend/workout-cards-demo.html,30,33,217
JavaScript,frontend/assets/js/profile/profile-manager.js,48,62,206
Python,backend/scripts/test_exercise_ranking.py,70,62,200
JavaScript,frontend/assets/js/dashboard/recent-workouts.js,38,17,195
JavaScript,frontend/js/firebase/auth-service.js,56,15,195
HTML,frontend/layouts-without-menu.html,38,35,195
JavaScript,frontend/assets/js/workout-mode-refactored.js,40,45,190
CSS,frontend/assets/css/components/forms.css,53,45,189
CSS,frontend/assets/css/components/badges.css,56,50,188
Python,backend/api/exercises.py,39,17,186
Python,backend/main.py,28,26,184
JavaScript,frontend/assets/js/modules/autosave-manager.js,42,75,181
CSS,frontend/assets/css/landing-page.css,43,23,177
JavaScript,frontend/assets/js/components/workout-components.js,31,35,173
HTML,frontend/public-workouts.html,49,48,173
Python,backend/scripts/setup_weight_logging.py,56,24,171
CSS,frontend/assets/css/components/filter-bar.css,54,43,171
CSS,frontend/assets/css/feedback-admin.css,51,48,171
Python,backend/services/favorites_service.py,45,63,170
Python,backend/services/firebase_service.py,50,21,170
HTML,frontend/workout-history.html,52,46,170
JavaScript,frontend/assets/js/core/component-registry.js,38,65,169
CSS,frontend/assets/css/exercise-autocomplete.css,49,42,167
HTML,frontend/exercise-database.html,42,45,166
JavaScript,frontend/assets/js/profile/account-deletion.js,39,52,165
CSS,frontend/assets/css/exercise-database.css,40,25,163
JavaScript,frontend/assets/js/menu-navigation.js,30,26,163
HTML,frontend/auth-login-basic.html,32,23,158
HTML,frontend/auth-register-basic.html,32,23,158
Python,backend/scripts/update_exercise_classifications.py,56,48,156
CSS,frontend/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css,11,19,155
JavaScript,frontend/assets/js/components/global-rest-timer.js,28,57,153
JavaScript,frontend/assets/js/services/auto-create-exercise-service.js,43,54,153
JavaScript,frontend/assets/js/utils/common-utils.js,26,69,153
Python,backend/api/data.py,42,26,152
JavaScript,frontend/assets/js/main.js,27,40,151
HTML,frontend/workout-mode.html,56,55,151
HTML,frontend/test-search-fab.html,23,10,150
HTML,frontend/workout-mode-old.html,53,52,147
JavaScript,frontend/assets/js/core/page-initializer.js,27,74,146
JavaScript,frontend/assets/js/services/navbar-injection-service.js,32,52,145
CSS,frontend/assets/css/components/buttons.css,38,46,142
JavaScript,frontend/assets/js/profile/password-manager.js,33,33,142
CSS,frontend/assets/vendor/libs/highlight/highlight.css,33,32,142
CSS,frontend/assets/css/components/fab-search-dropdown.css,33,36,139
JavaScript,frontend/assets/js/services/theme-manager.js,33,73,136
Python,backend/scripts/inspect_firestore_structure.py,37,20,135
JavaScript,frontend/assets/js/components/search-overlay.js,40,68,135
Python,backend/services/auth_service.py,37,18,133
HTML,frontend/auth-forgot-password-basic.html,30,23,132
JavaScript,frontend/assets/js/components/fab-search-dropdown.js,32,47,126
Python,backend/api/sharing.py,27,13,125
JavaScript,frontend/assets/js/services/feedback-injection-service.js,29,44,123
CSS,frontend/assets/css/components.css,33,61,121
Python,backend/scripts/pull_user_data.py,36,17,118
JavaScript,frontend/assets/js/dashboard/views.js,16,22,115
CSS,frontend/assets/css/components/search-overlay.css,26,30,114
JavaScript,frontend/assets/js/services/menu-injection-service.js,30,50,110
Python,backend/api/favorites.py,25,14,108
Python,backend/api/user_profile.py,33,34,104
CSS,frontend/assets/css/components/bonus-exercise-search.css,28,26,102
Python,backend/config/firebase_config.py,27,31,101
Python,backend/api/documents.py,28,21,98
JavaScript,frontend/assets/js/components/menu-template.js,14,17,94
JavaScript,frontend/assets/js/utils/toast-notifications.js,20,33,87
Python,backend/scripts/migrate_favorites_structure.py,32,19,84
CSS,frontend/assets/vendor/css/pages/page-auth.css,0,2,84
CSS,frontend/assets/css/demo.css,14,16,83
JavaScript,frontend/assets/js/firebase-loader.js,11,15,83
Python,backend/api/auth.py,21,11,75
Python,backend/middleware/auth.py,31,45,71
JavaScript,frontend/assets/js/dashboard/ui-helpers.js,17,47,70
Python,backend/services/v2/gotenberg_client.py,16,20,69
Python,backend/scripts/check_firebase_config.py,11,8,68
Python,backend/scripts/migrate_add_popularity_fields.py,24,11,68
Python,backend/api/health.py,11,7,64
HTML,frontend/builder.html,0,0,60
JavaScript,frontend/js/firebase/firebase-init.js,15,11,59
CSS,frontend/assets/css/components/sticky-footer.css,17,30,57
HTML,frontend/pages-misc-error.html,30,21,56
Python,backend/api/dependencies.py,21,18,55
HTML,frontend/pages-misc-under-maintenance.html,30,21,55
HTML,frontend/test-accordion.html,1,0,53
JavaScript,frontend/assets/js/app-config.js,11,23,43
Python,backend/scripts/generate_seed_exercises.py,13,20,41
HTML,frontend/layouts-blank.html,30,18,41
CSS,frontend/assets/vendor/css/pages/page-icons.css,1,2,31
JavaScript,frontend/assets/js/config.js,2,9,30
CSS,frontend/assets/vendor/css/pages/page-misc.css,0,2,17
Python,backend/api/__init__.py,2,4,12
JavaScript,frontend/libs/jquery/jquery.js,2,0,6
JavaScript,frontend/assets/js/ghost-gym-dashboard.js,1,16,5
JavaScript,frontend/js/bootstrap.js,2,0,5
JavaScript,frontend/libs/apex-charts/apexcharts.js,2,0,5
JavaScript,frontend/libs/highlight/highlight.js,2,0,5
JavaScript,frontend/libs/masonry/masonry.js,2,0,5
JavaScript,frontend/libs/perfect-scrollbar/perfect-scrollbar.js,2,0,5
JavaScript,frontend/libs/popper/popper.js,3,2,5
Python,backend/services/v2/__init__.py,3,5,3
JavaScript,frontend/assets/vendor/js/bootstrap.js,0,0,1
JavaScript,frontend/assets/vendor/js/helpers.js,0,0,1
JavaScript,frontend/assets/vendor/js/menu.js,0,0,1
JavaScript,frontend/assets/vendor/libs/apex-charts/apexcharts.js,0,0,1
JavaScript,frontend/assets/vendor/libs/highlight/highlight.js,0,0,1
JavaScript,frontend/assets/vendor/libs/jquery/jquery.js,0,0,1
JavaScript,frontend/assets/vendor/libs/masonry/masonry.js,0,0,1
JavaScript,frontend/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.js,0,0,1
JavaScript,frontend/assets/vendor/libs/popper/popper.js,0,0,1
Python,backend/__init__.py,0,1,0
Python,backend/config/__init__.py,0,3,0
Python,backend/middleware/__init__.py,0,3,0
Python,backend/services/__init__.py,0,1,0
SUM,,19074,13106,135125
